FormNO,District,Age,Gender,Income,Education,Sevice_evaluation
294,Chitwan,72,Male,6200,SLC/SEE,Ok
295,Chitwan,32,Female,13000,Inter/+2,Ok
296,Chitwan,35,Male,14900,Inter/+2,Good
297,Chitwan,45,Female,10500,SLC/SEE,Bad
298,Chitwan,37,Female,11100,SLC/SEE,Ok
299,Chitwan,53,Male,13000,SLC/SEE,Ok
300,Chitwan,38,Male,11200,Bachelor,Ok
301,Chitwan,39,Male,13400,SLC/SEE,Ok
302,Chitwan,60,Male,5400,SLC/SEE,Bad
303,Chitwan,35,Male,11400,SLC/SEE,Ok
304,Chitwan,25,Female,12300,SLC/SEE,Ok
305,Chitwan,61,Female,5900,Below SLC/SEE,Good
306,Chitwan,56,Male,13400,SLC/SEE,Ok
307,Chitwan,30,Female,11900,SLC/SEE,Good
308,Chitwan,28,Female,12100,SLC/SEE,Good
309,Chitwan,23,Male,10800,Masters and above,Good
310,Chitwan,24,Female,14600,SLC/SEE,Good
311,Chitwan,63,Male,5100,SLC/SEE,Ok
312,Chitwan,63,Female,4000,Below SLC/SEE,Good
313,Chitwan,30,Male,12800,SLC/SEE,Good
314,Chitwan,59,Female,13900,SLC/SEE,Ok
315,Chitwan,30,Female,11000,SLC/SEE,Good
316,Chitwan,40,Female,11400,SLC/SEE,Very Bad
317,Chitwan,58,Male,13900,SLC/SEE,Good
318,Chitwan,50,Male,10300,SLC/SEE,Good
319,Chitwan,40,Female,10100,SLC/SEE,Good
320,Chitwan,24,Female,12500,SLC/SEE,Very Good
321,Chitwan,31,Male,14400,SLC/SEE,Ok
322,Chitwan,44,Male,14600,SLC/SEE,Good
323,Chitwan,45,Male,12300,SLC/SEE,Bad
324,Chitwan,47,Male,10300,Inter/+2,Good
325,Chitwan,50,Male,10000,SLC/SEE,Good
326,Chitwan,38,Male,12300,SLC/SEE,Good
327,Chitwan,45,Male,10400,Masters and above,Good
328,Chitwan,27,Female,12600,Inter/+2,Ok
329,Chitwan,27,Male,13900,Masters and above,Ok
330,Chitwan,66,Male,3900,Below SLC/SEE,Good
331,Chitwan,27,Female,13600,SLC/SEE,Bad
332,Chitwan,63,Male,6600,SLC/SEE,Bad
333,Chitwan,26,Male,12900,Inter/+2,Ok
334,Chitwan,25,Female,15000,SLC/SEE,Good
335,Chitwan,57,Male,11700,Masters and above,Good
336,Chitwan,43,Female,10100,SLC/SEE,Good
337,Chitwan,42,Female,11300,Inter/+2,Ok
338,Chitwan,29,Male,11100,SLC/SEE,Very Good
339,Chitwan,56,Male,13600,SLC/SEE,Ok
340,Chitwan,46,Male,14900,SLC/SEE,Good
341,Chitwan,51,Male,11300,SLC/SEE,Ok
342,Chitwan,50,Male,13800,SLC/SEE,Ok
