lastproduct,reason,Age,Gender,Maritalstatus,Education,Income,Attitude_score (1-100)
others,Personal use,18-25,female,single,graduate,below 2lakhs,46
others,Family use,30-35,female,married,post-graduate,2-5 lakhs,98
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,82
Electronics and mobile,Personal use,25-30,female,single,graduate,below 2lakhs,39
others,Gifting others,18-25,female,single,post-graduate,below 2lakhs,73
Electronics and mobile,Family use,18-25,female,single,post-graduate,below 2lakhs,26
Fashion Apparel,other,18-25,female,single,graduate,below 2lakhs,38
Electronics and mobile,Family use,30-35,female,married,graduate,2-5 lakhs,94
others,Personal use,18-25,female,single,graduate,below 2lakhs,79
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,42
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,52
Fashion Apparel,Personal use,18-25,female,married,post-graduate,below 2lakhs,34
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,7
others,Gifting others,18-25,female,single,post-graduate,below 2lakhs,35
Electronics and mobile,Personal use,25-30,male,single,post-graduate,2-5 lakhs,28
Electronics and mobile,Family use,18-25,male,single,graduate,below 2lakhs,70
Electronics and mobile,Family use,18-25,male,single,post-graduate,below 2lakhs,18
Fashion Apparel,Personal use,18-25,male,single,post-graduate,above 5 lakhs,38
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,70
Fashion Apparel,Personal use,18-25,female,single,graduate,2-5 lakhs,42
others,Gifting others,18-25,female,single,post-graduate,below 2lakhs,66
Electronics and mobile,Gifting others,18-25,female,single,post-graduate,below 2lakhs,95
Fashion Apparel,Gifting others,18-25,female,single,post-graduate,below 2lakhs,22
Fashion Apparel,Personal use,18-25,male,single,post-graduate,below 2lakhs,4
others,Family use,18-25,female,single,graduate,above 5 lakhs,5
others,Personal use,18-25,female,single,graduate,below 2lakhs,24
others,Family use,18-25,male,single,graduate,2-5 lakhs,79
others,Personal use,18-25,female,single,graduate,below 2lakhs,37
Electronics and mobile,Personal use,18-25,male,single,graduate,below 2lakhs,22
Fashion Apparel,Family use,18-25,male,single,graduate,below 2lakhs,70
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,3
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,87
Fashion Apparel,Personal use,18-25,female,married,post-graduate,below 2lakhs,93
Fashion Apparel,Personal use,18-25,female,single,post-graduate,above 5 lakhs,62
Electronics and mobile,Personal use,18-25,male,single,post-graduate,2-5 lakhs,29
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,18
others,Personal use,18-25,female,single,post-graduate,below 2lakhs,97
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,46
